#species	if_cons,if_shadow,if_miRBase,if_rFam,pri_cons_mean,mature_cons_mean,pri_shadow_mean,mature_shadow_mean	average_premir_length
homo_sapiens	1,1,1,1,0.630,0.730,0.553,0.657	81
mus_musculus	1,1,1,1,0.660,0.760,0.650,0.750	83
canis_familiaris	1,0,1,0,0.895,0.928,0,0	69
drosophila_melanogaster	1,0,1,1,0.613,0.702,0,0	94
danio_rerio	1,1,1,0,0.911,0.986,0.910,0.984	93
gallus_gallus	0,0,1,1,0,0,0,0	91
xenopus_tropicalis	1,0,1,0,0.948,0.987,0,0	81
rattus_norvegicus	1,0,1,1,0.726,0.802,0,0	91
pan_troglodytes	0,0,1,1,0,0,0,0	89
macaca_mulatta	0,0,1,1,0,0,0,0	85
monodelphis_domestica	1,0,1,1,0.516,0.556,0,0	66
fugu_rubripes	1,0,1,0,0.3,0.6,0,0	81
gorilla_gorilla	1,0,1,0,0.757,0.819,0,0	104
petromyzon_marinus	1,0,1,0,0.808,0.890,0,0	86
oryzias_latipes	1,0,1,0,0.757,0.928,0,0	98
ornithorhynchus_anatinus	1,0,1,1,0.710,0.848,0,0	99
sus_scrofa	0,0,1,1,0,0,0,0	81
ovis_aries	0,0,0,1,0,0,0,0	96
equus_caballus	0,0,1,1,0,0,0,0	77
sarcophilus_harrisii	0,0,1,0,0,0,0,0	148
bos_taurus	0,0,1,1,0,0,0,0	80
caenorhabditis_briggsae	0,0,1,1,0,0,0,0	91
caenorhabditis_elegans	1,0,1,1,0.770,0.905,0,0	89
pongo_albelii	1,0,0,0,0.3,0.6,0,0	89
geospiza_fortis	1,1,0,0,0.3,0.6,0.3,0.6	93
gasterosteus_aculeatus	1,0,0,0,0.3,0.6,0,0	93
saccharomyces_cerevisiae	1,0,0,1,0.3,0.6,0,0	93
branchiostoma_floridae	1,0,0,0,0.3,0.6,0,0	93
felis_catus	0,0,0,0,0,0,0,0	69
oryctolagus_cuniculus	0,0,0,1,0,0,0,0	89
macropus_eugenii	0,0,0,0,0,0,0,0	69
